Titulo,Review,TipoViaje,Calificacion,OrigenAutor,FechaOpinion,FechaEstadia
impresionante,"bella su infraestructura, mezcla de estilos, había una ceremonia de bautismo y me gustó mucho la participación de la gente con mucho fervor.",,5,"Lima, Perú",5 de marzo de 2018,feb de 2018
Obligado,"Visita obligada si se encuentran en la Ciudad de México, imponente catedral, frente al zócalo. Lugar importante de historia y cultural tuve la suerte de hospedarme justo detrás de ella y las vistas desde la terraza del hotel y de noche son grandiosas, definitivamente tienen que ir. ",,5,"Ciudad de Guatemala, Guatemala",5 de marzo de 2018,dic de 2017
Restaurantes para ver la plaza y la catedral,"Se nos antojó desayunar en alguno de esos restaurantes que te ostigan al ir pasando, para ver desde una terraza la plancha central del Zócalo y la catedralLos menú son raquítico malos y realmente carosNo caigan en este tipo de trampa de estos restaurantillos de mala calidad y faltas de higieneFue una gran decepción Probaremos en un par que pertenecen a unos hoteles, para comparar",,2,"Estado de México, México",3 de marzo de 2018,jun de 2017
El punto de partida,"La catedral de la Ciudad de México es el punto de partida para las personas que son católicas y desean hacer turismo en el centro de la ciudad, para los arquitectos también es un lugar interesante, ya que la construcción es impresionante y el mantenimiento que se le ha dado hace que se conserve en muy buen estado.Una visita muy bonita en la ciudad. ",,5,"Ciudad de México, México",3 de marzo de 2018,mar de 2018
Visita obligada ,Desde lejos ya se nota que se trata de un sitio importante. Esto lo compruebas al entrar. Hay que fijarse antes de entrar en unos cristales en el suelo. Allí abajo se pueden ver los restos de construcciones más antiguas y comprobar que la colonización fue también destrucción de lo local. Al entrar al recinto te encuentras con una construcción enorme y lujosa al estilo español.  Columnas volutas y pan de oro. La visita es gratuita (al menos lo era ese día sábado ). ,,4,"Madrid, España",2 de marzo de 2018,mar de 2018
Muy impotente ,"Obra imponente de arquitectura, la iglesia como institución tenía mucho dinero dinero para construir algo de esas envergadura ",,5,"Bogotá, Colombia",25 de febrero de 2018,ene de 2018
Imponente ,"Es imponente,  no existe lente de cámara que le haga ver la verdadera exquisitez de obra de arte, es estilo recargado, es muy linda, vale la pena visitarla ",,5,"Cartagena, Colombia",20 de febrero de 2018,mar de 2017
Imponente ,"Conozco muchas iglesias pero esa tiene como muchas en una sola, se respira religiosidad sea a dentro en las tantas capillas o afuera con otras religiones al rededor!! ",,5,"Bogotá, Colombia",19 de febrero de 2018,feb de 2018
Espectacular ,"Historia, arquitectura, buen mantenimiento, ingresó gratuito, impresionante el tamaño y toda la arquitectura, muy lindo.",,5,"Cuzco, Perú",19 de febrero de 2018,feb de 2018
"Recorrido ""Voces de Catedral""","La compañía teatral de la Catedral Metropolitana ofrece al visitante un recorrido histórico por los altares, retablos, sacristía y coro de la catedral.  La visita se hace guiado con caracteres de la Nueva España que hablan de la catedral y de personajes destacados de su historia. Es hermoso escuchar al órgano español y después al órgano mexicano, entablando un diálogo musical. Se finaliza con la entrada a la sacristía para admirar las joyas que ahí se conservan. Es un espectáculo que se presenta sólo los miércoles a las 20:00 hr y conviene hacer compra anticipada de los boletos directamente en la catedral en el módulo de misas o al 41654013. Se aconseja ir abrigado porque en algunas zonas hace frío y con zapatos cómodos.",,5,"Ciudad de México, México",18 de febrero de 2018,may de 2017
Grandiosa,Grandiosa Catedral que vale la pena conocer. Su estructura da cuenta perfectamente de la convivencia y el sincretismo de la cultura indígena y el cristianismo colonial.,,5,"Región Metropolitana de Santiago, Chile",18 de febrero de 2018,mar de 2017
Turista en la ciudad.,"Visitamos la catedral se estaba oficiando misa,y pude observar la magnitud de la construcción lo magnífico de los órganos y los retablos de las capillas laterales, no acepto que policías federales estén en el interior,sería mejor poner detectores de metales y revisiones en el patio antes de entrar.",,4,"Ciudad de México, México",14 de febrero de 2018,feb de 2018
Catedral metropolitana de la ciudad de México,"Imponente construcción en el corazón de la ciudad de México. Sus vecinos más cercanos el palacio Nacional, Best Western Hotel Majestic, La Terraza del Conquistador, y en frente  el antiguo palacio del ayuntamiento, ",,5,,11 de febrero de 2018,feb de 2018
Imponente,"Vale la pena situarse frente a la majestuosidad de su construcción y recorrer cada nave. Ineludible: encontrar el péndulo que registra el movimiento que fue teniendo toda la estructura y donde puede verse cómo la catedral se fue hundiendo a causa de los fenómenos sísmicos. Hay algunas personas, particulares, que brindan una charla explicativa por poco dinero. También hay visitas, en horarios específicos, para subir a la cúpula; me dijeron que es imponente la vista que se tiene. Nosotros no pudimos realizarla. ",,4,"Buenos Aires, Argentina",9 de febrero de 2018,ene de 2018
Que agradable 👍,"Fui a turistear al centro y con gusto lo encontré limpio y con muchos hoteles y restaurantes nuevos. Visitar azul histórico , comer en el Danubio y caminar por madero me encanto",,5,"México Central y Costa del Golfo, México",8 de febrero de 2018,ene de 2018
VISITA OBLIGADA,"En el zocalo se encuentra la Catedral Metropolitana, la cual no solo por su ubicación sino por su arquitectura hay que visitarla. En el centro de la catedral hay un pendulo que registra el hundimiento de la catedral. ",,5,"Santa Marta, Colombia",7 de febrero de 2018,ene de 2018
arquitectura grandiosa,Un ícono que uno no debe de dejar pasar durante su visita a México aunque no practiques una religión,,5,"Nueva York, Estado de Nueva York",7 de febrero de 2018,feb de 2018
Una gran experiencia,Recorrer los campanarios y las azoteas de la catedral al tienpo que te cue tan la historia de la catedral es preciosa y la experiencia de subir al campanario es fabulosa tienes una vista unica del zocalo por 2 dlls no te la pierdas asegura llevar tu camara tiene una vista inigualable,,5,,7 de febrero de 2018,ago de 2017
Hermoso,Hermoso templo en el centro del zócalo. Impresionante el Pendulo que mide la intensidad de los terremotos que han ocurrido ,,5,"Monterrey, México",6 de febrero de 2018,feb de 2018
Enorme ,Una catedral que ha teñido varias versiones a lo largo de los siglos. Se trata de la catedral más grande de America Latina. Fachada neoclásica y el sagrario ultrabarroco. Vale la pena ver sus altares barrocos al interior ,,5,"Ciudad de México, México",6 de febrero de 2018,feb de 2018
Un edificio digno de apreciar,"Aunque no practico mucho el turismo religioso, si soy un gran admirador de las iglesias con arquitectura deslumbrante. La Catedral Metropolitana en la Ciudad de México, es sin duda una de mis favoritas. Pese a su historia detrás del origen de tan majestuoso lugar, cabe mencionar que el trabajo puesto es magnifico y que para estos tiempos, ya es un lugar que representa con precisión la cultura mexicana y un punto de referencia mundial. Los invito a visitarla, no se arrepentirán.",,4,"Cracovia, Polonia",6 de febrero de 2018,jun de 2017
Hermosa Reliquia,"Es un lugar que está a la pasada por el Zócalo de la Ciudad, su estructura antigua no decepciona y unas fotos por aquí no están de mas!",,4,"Guadalajara, México",5 de febrero de 2018,feb de 2018
Monumento histórico,"Además de religioso, la catedral es un monumento impresionante. Esta emplazado justo frente al Zócalo. Imposible no visitar",,4,"Buenos Aires, Argentina",2 de febrero de 2018,ene de 2018
Muy interesante,Estuve alojado en un Hotel a dos cuadras de la Catedral por lo que fuí varias veces y me gustó mucho.-,,5,"Buenos Aires, Argentina",1 de febrero de 2018,ene de 2018
Visita obligada. ,"Aunque no seas católico, el edificio es impresionante, aunque da cierto miedo por la inclinación, se ve que no es parejo el suelo del centro histórico, cobran $10 por entrar a la sacristía mayor, si no te gusta el arte sacro, no vale la pena. ",,4,"Culiacán, México",28 de enero de 2018,ene de 2018
Visita Obligada,Frente al Zocalo de la Ciudad de México esta la imponente Catedral de la Ciudad de México. Una experiencia maravillosa es subir al campanario.  El organo del interior de la catedral es digno de admirarse. Cuando visites la catedral notarás el hundimiento del edificio y se siente la inclinación.,,5,"Puebla, México",28 de enero de 2018,jul de 2017
Toda un obra de Arte,"La Catedral Metropolitana de la Asunción de la Santísima Virgen María a los cielos de Ciudad de México es una obra para no perdérsela. Debido al prolongado tiempo que llevó su construcción, poco menos de 250 años, prácticamente todos los principales arquitectos, pintores, escultores, doradores y demás artistas plásticos del virreinato trabajaron en algún momento en la edificación del recinto. Esa misma condición, la de su extenso lapso de edificación, permitió que se integraran en ella los diversos estilos arquitectónicos que estuvieron vigentes y en boga en esos siglos: gótico, barroco, churrigueresco, neoclásico. Para todos los amante de las bellas artes, historia arquitectura y religión en general.",,4,"Provincia de Santa Fe, Argentina",28 de enero de 2018,ene de 2018
Imponente,"La catedral metropolitana es, un muestrario arquitectónico, dado el tiempo que llevo su construcción , la 14 capillas que se encuentran periféricas a la nave central , requieren atencion particular , así como el conjunto en su integridad.Llama la atención , la perdida de horizontalidad, que se evidencia por el péndulo , que cuelga de la nave central",,4,"Rosario, Argentina",26 de enero de 2018,ene de 2018
Visita obligada,Tratar de ir con un guía .Recomiendo los tours gratis de Estacion Mexico Free Walking Tours. Los guías son jóvenes estudiantes muy preparados. ,,3,"San Juan, Argentina",25 de enero de 2018,feb de 2017
Imponente arquitectura colonial,"El edificio es hermoso. Típico de la época de la colonia española. Por dentro es enormes, con techo abovedado y varias capillas anexas al templo central.",,5,"San Juan, Argentina",24 de enero de 2018,ene de 2018
Maravilloso,"Su arquitectura barroca está preciosa, el recorrido por el campanario es muy bonito y la explicación que proporcionan excelente.",,5,"México, Mexico",24 de enero de 2018,dic de 2017
Visita al centro de la CDMX,"La Catedral de la CDMX es imponente, tanto por sus dimensiones como por su belleza arquitectónica. Su estado de conservación es muy bueno, y sus múltiples altares son una maravilla. El órgano es monumental e impresionante. Es un sitio que todos debemos conocer. Si puedes conseguir una visita guiada, será mucho mejor",,4,"cdmx, Mexico",22 de enero de 2018,nov de 2017
Tipica Catedral,"Al momento de la visita, estaban haciendo algunas refacciones en ella. Esta frente al zocalo, y palacio de gobierno.Es linda, me pareció que necesitaba estar mejor mantenida por fuera...",,4,"Santa Fe, Argentina",19 de enero de 2018,ene de 2018
Lugar emotivo,"Es una joya arquitectónica, impresiona al ingresar un Cristó negro clavado en la cruz, los distintos altares laterales son muy bonitos y el órgano imponente. Cuando se celebra misa se limita el recorrido por algunos sectores pero le da al lugar un tinte de respeto importante. Hay posibilidad de realizar visitas a los campanarios (pagas) y guías ""a voluntad"" en el ingreso que te invitan a recorrerla.",,4,"La Plata, Argentina",17 de enero de 2018,ene de 2018
Mucha historia y deleite visual,"Date la oportunidad de disfrutar la majestuosidad de esta hermosa construcción. Fundada por Felipe II de España, tuvo 3 etapas de construcción: • 1571 - 1657, primera etapa de construcción • 1657 - 1793, segunda etapa de construcción • 1793 - 1813, última etapa de construcción. Cada piedra cuenta un fragmento de lo que ha transcurrido, cada halo de luz alberga la esperanza de lo que aún falta por transcurrir.Es sin duda, un imponente testigo de la transformación de la Ciudad de México, desde la existencia de Centros Ceremoniales, las guerras por el territorio, de tesoros ocultos que van siendo descubiertos y de la magia que caracteriza a esta bellísima Ciudad.",,5,,16 de enero de 2018,ene de 2018
Hermosa!!,"Es mpresionante la catedral, la historia que guarda, la ubicación que tiene, los detalles hermosos y sobre todo la fe que día a día ahí se respira y se vive ",,4,"Villahermosa, México",14 de enero de 2018,may de 2017
una obligacion si vas al centro historico de la ciuda de mexico,"no puedes dejar de visitar este monumento historico de la capital mexicana, imperdible un lugar historico pero sobre todo unico",,4,,12 de enero de 2018,oct de 2017
Hermosa,"Me encanta, es una construcción hermosa y en diciembre, con el frío y el sol, se vuelve deliciosa. Voy cada ",,5,"Ciudad de México, México",10 de enero de 2018,dic de 2017
Impactante sorpresa,"Es una catedral icono de la ciudad, nunca había tenido la oportunidad de entrar y es bonita, muy estilo barroco y un órgano espectacular. También cuenta con un oratorio donde se exhiben varias reliquias.En pleno zócalo capitalino. Visita obligada subir al campanario. ",,5,,8 de enero de 2018,ene de 2018
El arte arquitectónico del México Colonial,"La catedral de la ciudad de México es uno de los monumentos más hermoso en cuestiones arquitectónicas y de acústica que existen en nuestro país.Disfruta de la belleza de sus arcos, bóvedas, vitrales, cuadros, piedras, construcciones, torres, campanarios, pero al mismo tiempo disfruta de la belleza del órgano monumental del lugar.Siente la tranquilidad de su interior y del misterio de su silencio",,5,"Ciudad de México, México",8 de enero de 2018,dic de 2017
Bella! ,"Desde que entras recibes una remanso de paz impresionante. La decoración, arquitectura, todo es digno de ser visto. Nos tocó mida y todo😄❤️",,5,"Santo Domingo, República Dominicana",7 de enero de 2018,dic de 2017
Increíble!!!,Un lugar lleno de magestuosidad e historia. El reflejo perfecto de la evolución de nuestros orígenes.,,5,"Santiago de Querétaro, México",6 de enero de 2018,ene de 2018
Interesante,"Una muestra del arte arquitectónico barroco. Lugar de culto religioso y centro cultural, ubicada en el centro histórico de la Cd de México, en frente de la Plaza de la Constitución. Cuenta con visita guiada a los campanarios, con una vista única del corazón de la capital mexicana",,5,,5 de enero de 2018,dic de 2017
El tour por las torres vale la pena,"La catedral es preciosa y vale la pena pagar para entrar al coro, pero sobre todo subir a los campanarios. Es mejor subir para las 12:00 para escuchar el toque de campanas de medio día.",,5,mexico,4 de enero de 2018,feb de 2017
Catedral muy bonita,"Es un lugar muy bonito do de se puede apreciar a simple vista el estilo de siglos anteriores en estetipo de construcciones, se recomienda no tomar fotos con flash dentro del inmueble porque esta prohibido",,5,"Aguascalientes, México",3 de enero de 2018,nov de 2017
linda!,"Tiene detalles lindos diferentes a las iglesias comunes, como detalles en oro en el altar principal, un Jesús en la cruz negro. unos órganos grandes, en la entrada en el piso se observan restos de la vieja ciudad, impresionante. lo demás parecido al resto de las iglesias. ",,4,,29 de diciembre de 2017,feb de 2017
Arquitectura eclesiástica histórica ,"Muy bonita catedral con trabajos de restauración en proceso. Es interrogatorio como se asocia todo en la ciudad con la presencia de terremotos, pareciera que existe una mística en toeno a esto",,5,"Ciudad de Panamá, Panamá",29 de diciembre de 2017,nov de 2017
“Impacta”,"Siempre que visito esta ciudad me gusta, pasear en solitario por el recinto y sentir la majestuosidad y bellezas de este recinto religioso y aparte ver el sentimiento religioso de muchos de los asistentes.No recomiendo la visita a la cripta,pagar por ver nichos no me mereció la pena, esperaba ver restos arqueológicos de las edificaciones anteriores y solo hay parte de un resto precolombino en el altar y una calavera en piedra en la base de una tumba, aparte de una lápida de la época colonial ",,5,"León, España",28 de diciembre de 2017,dic de 2017
Muy buen lugar para visitar,"La Catedral Metropolitana es una excelente opción a visitar durante su estancia en la Ciudad de México. Se recomienda acudir por la mañana para evitar la acumulación de gente dentro de la Catedral, al igual se recomienda llegar de caminando, ya que para medio dia o por la tarde el Zocalo de la ciudad se puede ver muy saturado por la cantidad de visitantes. ",,5,"México, Mexico",28 de diciembre de 2017,jul de 2017
Imperdible,"Por su historia, por estar en una de las plazas más grandes del mundo, por su entorno y su historia, es un lugar al que no te debes perder en tu estancia en la Cd. de México, magnífica en su interior, posee un hermoso retablo y un órgano muy bello, en su exterior uno de los tuneles en el tiempo, son lugares en los que al hacer excavaciones se han encontrado vestigios arqueológicos y se ven a través d eun cristal.",,5,"Santiago de Querétaro, México",28 de diciembre de 2017,nov de 2017
Icono de la Ciudad,Es un ícono de la Bella Ciudad de México. De arquitectura ecléptica y de dimensiones exuberante es imposible de no ir a visitarla. Por dentro se respira una paz inusitada. Se encuentra en pleno centro del casco histórico en el Zócalo y enfrente del Templo Mayor,,5,"Rosario, Argentina",27 de diciembre de 2017,mar de 2017
Religion y Arquitectura,"No es primera   Vez que visito,pero si primera vez con niños,recomendadisimo hacer el tour del campanario,desafortunadamente no recuerdo el horario para hacer tal,vistas del Zocalo son extraordinarias de este punto, caminar encima de las cúpulas es algo de locos,el interior de la Catedral sublime, especialmente la Sacristía,que no siempre esta abierta al publico  ",,5,"Anchorage, AK",26 de diciembre de 2017,jun de 2017
Lugar obligado a conocer,Una parte de la historia de México que se necesita visitar para ver la riqueza arquitectónica del México antiguo,,5,"Ciudad de México, México",23 de diciembre de 2017,dic de 2017
Cada altar es una experiencia,"No recordaba la magnitud de esta catedral, su tamaño, los detalles arquitectónicos; detenerse a observar cada uno de los altares es una experiencia inolvidable.",,5,,23 de diciembre de 2017,nov de 2017
La catedral,"Aun y cuando no es de las construcciones religiosas mas hermosas de Mexico, su significado va mas alla, tienes que visitar sus capillas, conocer  su historia y ver el trabajo realizado para evitar su hundimiento, visitala!!!",,4,"Mexicali, México",22 de diciembre de 2017,jun de 2017
"La Catedral Metropolitana, Patrimonio de la Humanidad. Un monumento que no debes dejar de visitar","He estado en la catedral metropolitana en varias ocasiones y en cada una de ellas aprendo algo nuevo. Mucha gente sabe que su construcción duró mas de 250 años y por eso sus fachadas conjugan varios estilos arquitectónicos o que es considerada Patrimonio de la Humanidad desde hace 30 años más o menos. Poca gente sabe es que entre otros muchos, ahí reposan los restos (en una urna de cristal) de Agustín de Iturbide, primer emperador de México y que es a la vez héroe y a la vez villano de la historia de nuestro país. Lo único que me entristece es el deterioro que ha sufrido este monumento tanto por los sismos que han ocurrido en la Ciudad de México como por el constante tránsito de personas que hay tanto en ese monumento como en todo el centro histórico.",,4,,22 de diciembre de 2017,dic de 2017
La mayor catedral de América,"Es una magnifica obra de arte que tardó más de 200 años en ser completada. Por este motivo, combina diversos estilos que van desde el virreinal hasta el neoclásico. Una obra que vale la pena admirar.",,5,"Cancún, México",22 de diciembre de 2017,dic de 2017
Espectacular,"Sin duda el Centro Histórico mas espectacular y rico en el continente americano. Aquí podrá comprobar porqué la ciudad de México era llamada la Ciudad de los Palacios. Su oferta es enorme: zonas arqueológicas, señoriales edificios coloniales y del porfiriato, enorme variedad de museos, extraordinaria variedad de restaurantes, sede de grandes espectáculos culturales y un foro inmenso de arte urbano. Es un lugar para disfrutarse por horas y en cualquier momento del día. Recomendable llegaren transporte público, pues hay tráfico pesado. ",,5,"Ciudad de México, México",22 de diciembre de 2017,dic de 2017
Imponente,"Si quieres conocer una catedral impresionante, no dejes de visitarla, el centro de la ciudad, lleno de comida, gente, tiendas",,5,"Ciudad de México, México",21 de diciembre de 2017,nov de 2017
Hermosa,No hay nada como la vista a ese hermoso edificio antiguo y sus detalles de construcción. La belleza de su decoración interna es impresionante!,,5,,21 de diciembre de 2017,nov de 2017
Fría y misteriosa,"Ir en la mañana para evitar gente, los alrededores para descansar observando artistas callejeros, comida tipica callejera ya no hay, restaurantes en terrazas al rededor de la plaza.",,3,,21 de diciembre de 2017,may de 2017
Hermosa catedral,"Este edificio histórico vale la pena visitarlo.La fachada es muy bonita, pero su interior es realmente impresionante.",,4,"Ciudad de México, México",19 de diciembre de 2017,dic de 2017
PRECIOSA,"Es una catedral hermosa, su arquitectura es para admirarse lentamente así que toma tu tiempo para visitarla, es de fácil acceso ya que se encuentra en pleno zócalo de la ciudad.",,5,"Tuxtla Gutiérrez, México",18 de diciembre de 2017,dic de 2017
Catedral,Lugar histórico que debe visitarse en su viaje  Mexico se encuentra localizado en lo que se conoce como Centro histórico y todo a su alrededor se encuentran museos a cerca de la cultura Mexica,,5,"Ciudad de México, México",17 de diciembre de 2017,dic de 2017
Preciosa visita,"No olviden tomar el tour por el campanario. El costo del boleto es de sólo $20, y es una excelente experiencia para conocer la Catedral desde otro punto de vista. ",,5,,14 de diciembre de 2017,ago de 2017
lo imperdible de la CDMX,si vienes a esta gran ciudad no te puees perder si maravillosa arquitectura colonial que se enmarca en el zocalo de esta mista y la cateral es uno de los lugares donde nunca puedes faltar ademas de poder observar en sus entrañas algunos vestijios arqueologicos que fueron sepultados antes de la colonizacion ,,5,"Ciudad de México, México",13 de diciembre de 2017,dic de 2017
La visita es obligada, Especialmente en las tardes para disfrutar del clima fresco y admirar su majestuosidad y arquitectura sin par.,,5,,7 de diciembre de 2017,dic de 2017
"Impresionante, visita obligada",El arte y decoración asi como el tamaño hacen que este sitio sea realmente impresionante. El órgano tambien impresilna por su tamaño. Es una visita que no se debe perder.,,5,"Morelia, México",7 de diciembre de 2017,dic de 2017
imperdible !!!,"Escala obligada en CDMX, no importa religión... El valor histórico, el arte sacro y arquitectónico, dejan un buen sabor de boca a nacionales y extranjeros. De paso, al tomar el tour al campanario y azotea, es como regresar en el tiempo desde el termino de su construcción. ",,5,"Ciudad de México, México",6 de diciembre de 2017,jun de 2017
Increíble Catedral,"Una de las más grandes, hermosas y vistosas del mundo. Cuenta con buena ubicación pues está en un lugar turistico rodeada de otras atracciones. La entrada es gratuita, y por dentro y fuera es digna de admiración. ",,4,"Ciudad de México, México",4 de diciembre de 2017,nov de 2017
Merece la visita,"Seguramente un lugar para visitar en la Plaza del Zócalo, es una belleza,  nos permitieron el ingreso a la catedral   pero no accedimos hasta el altar mayor por temas de refacción ",,4,,3 de diciembre de 2017,nov de 2017
Impresionante y monumental ,"Indudablemente que es la catedral más grande y hermosa de América. La arquitectura es de estilo barroco tardío, pero también tiene elementos del neo gótico y del churrigueresco.Guarda gran cantidad de obras de arte de renombrados pintores. El altar mayor, las capillas y los púlpitos, son verdaderas obras de arte .",,5,"Lima, Perú",3 de diciembre de 2017,nov de 2017
Impresionante catedral!,"Es hermosa, por fuera, y aún más por dentro, con su órgano gigante, sus detalles barrocos, sus colores, sus techos, su misticismo, cada rincón de la catedral tiene algo que contar, es preciosa en sus capillas, sus imágenes. Vale la pena ir a conocerla",,5,"Tres Rios, Costa Rica",30 de noviembre de 2017,oct de 2017
Catedral de Mexico,El organo de la catedral es impresionante y al lado de la catedral hay una iglesia con una decoración muy bonita. Digno de visitas,,5,"Medellín, Colombia",29 de noviembre de 2017,nov de 2017
ENORME!,"Esta catedral es muy hermosa, muy grande. Hay reliquias de diferentes Santos; su mantenimiento es muy bueno, y lo más importante, es un sitio lleno de espiritualidad, para disfrutarlo es mejor en plan de oración.",,5,"Bogotá, Colombia",27 de noviembre de 2017,oct de 2017
Catedral,Arquitectura en excelente estado....que da cuenta del undimiento de la ciudad. Tiene un organo antiguo que aun funciona....es sorprendente el sonido que alcanza.,,4,"Santiago, Chile",25 de noviembre de 2017,nov de 2017
Culto sobre culto.,"Catedral Metropolitana de la CDMX se encuentra en la plaza de la constitución en el centro histórico, su construcción duró más de 220 años por lo que su estilo es diverso por obvias razones, sobresalen dos torres campanario que tiene 35 campanas. Además de sus diversas capillas, cuenta con innumerables retablos, altares, pinturas, esculturas, muebles y dos de los órganos más grandes del continente.Fuerza México",,5,"Ciudad de México, México",23 de noviembre de 2017,nov de 2017
Una visita  al pasado,"al ingresar sientes que estas en epocas pasadas , se  encuentra bien conservados, puedes  admirar  y rezarle al Cristo del veneno (Cristo negro) observar esculturas, altaresbellisimos en las capillas en fin  recomiendo esta visita",,5,,23 de noviembre de 2017,nov de 2017
Cuando estuve de paso en la Ciudad de México visité la Catedral Metropolitana,"Es muy bella por dentro. Se pueden admirar obras de arte como pinturas, esculturas y tesoros de la Catedral, todos ellos desde la ""epoca de la colonia"".",,5,"Chilapa de Alvarez, Guerrero, México",23 de noviembre de 2017,jun de 2017
iglesia,"es un recinto muy grande en donde encontraran muchas piezas de santos y si les gusta escuchar misa es un buen lugar para ello, también en cada santo hay una biografía de ellos para que uno conozca su vida, me parece muy interesante.",,5,"Ciudad de México, México",20 de noviembre de 2017,dic de 2016
Centro,"Interesante, entre a un tour que nos llevó a conocer la historia de las campanas de la catedral, recomendado, a menos de que no les gusten las alturas",,4,,20 de noviembre de 2017,mar de 2017
Bonita pero casi no se podía ver,"Es muy grande y tienen algunas cosas curiosas pero todas las veces que entré, la zona central estaba reservada para las misas y nunca pude ver el retablo mayor. Y es que no solo reservan la parte central si no más de la mitad de las naves laterales. Entiendo que hay que guardar un respeto pero es una pena que sus joyas estén escondidas.",,3,"Madrid, España",20 de noviembre de 2017,nov de 2017
Catedral metropolitana de CDMX ,"La Catedral Metropolitana se encuentra frente a la Plaza de la Constitución o Zócalo en el centro histórico de la Ciudad de México.Puedes llegar en metro hasta la estación Zócalo y visitar la catedral sin costo , desde la mañana hasta la noche. Desde la plaza podrás ver el Palacio Nacional, el ayuntamiento y muchas tiendas de antigüedades. ",,3,"Chillán, Chile",18 de noviembre de 2017,oct de 2017
IMPONENTE,"por donde la mires es totalmente imponente, su interior es espectacular (lastima que no este permitido tomar fotos ) la visite un domingo en plena misa y el ambiente es único , sus dimensiones son abrumadoras y todas los tesoros religiosos están muy bien conservados . por fuera el edificio repito es IMPONENTE...........muy bien conservado a pesar de los daños que le ocacionan los terremotos ........... un lugar imperdible un joya de la ciudad para compartirla con el mundo entero.",,5,"Bogotá, Colombia",16 de noviembre de 2017,nov de 2017
Excelente Recinto,"Realizar el Tour a las 2 torres es algo increíble, en su interior dos grandes Órganos la dan esa majestuosidad al recinto. Sus múltiples capillas y la gran sacristía. Vale la pena dedicarle una horas.",,5,"Ciudad de México, México",15 de noviembre de 2017,ene de 2017
Catedral Metropolitana de la Ciudad de México,"Se ubica en un costado de la Plaza de la Constitución en el Centro Histórico de la Ciudad de México, y es la cede de la Arquidiócesis de México, su construcción llevó casi 250 años por lo que puede apreciarse en su estructura diferentes estilos arquitectónicos, como son gótico, barroco, neoclásico, entre otros. Similar es la situación que puede observarse en los ornamentos, pinturas esculturas y muebles en su interior. Consta de 2 torres cuya altura es de aproximadamente 67 metros.Cuenta con una riqueza histórica asombrosa, ya que en ella fueron coronadas personalidades como Agustín de Iturbide  (cuyos restos descansan en ella, así como los de Miguel Hidalgo y Costilla y de José María Morelos y Pavón), Maximiliano de Habsburgo y su esposa Carlota.Existe una gran cantidad de capillas dedicadas a diferentes santos, las capillas se encuentran ricamente adornadas con altares y retablos, pinturas, muebles y retablos.A un costado de ésta se localiza la Zona arqueológica del Templo Mayor de los mexicas, el cual representó para los aztecas el centro fundamental de su cosmovisión.No puedes dejar de visitarla esta maravilla de la arquitectura y sus alrededores.",,5,,15 de noviembre de 2017,ene de 2017
Hermoso recinto histórico de la Ciudad de México.,"La Catedral de la Ciudad de México,  cuenta a sus alrededores con la calle de Madero en la cual se hacen diversos eventos culturales, cuenta con restaurantes para todos los gustos culinarios y centros de diversión. Además cerca está la Torre Latinoaméricana, así mismo a unos minutos se encuentra el Monumento a Bellas Artes. ",,5,"Ciudad de México, México",15 de noviembre de 2017,oct de 2017
"Una construcción monumental externa, sublime interna.","El ambiente religioso del lugar ayuda a comprender fácilmente porque para los indígenas del lugar, no resultó traumático adherirse a la nueva religión; la música del órgano, las velas y las flores crean un ambiente místico de lo más agradable. ",,5,"Ciudad de México, México",14 de noviembre de 2017,mar de 2017
"Visita obligada, preciosa","Me encantó, fui cinco minutos, antes de tomar un turibus, pero valió la pena, siempre que voy a una ciudad nueva intento pasar por la catedral y está está a la altura de las catedrales en Europa, creo que debe ser la catedral más bonita de Latinoamérica.",,5,"Santiago, Chile",12 de noviembre de 2017,nov de 2017
Muy bien preservada ,"Muy linda catedral, hay misas los domingos, hay una zona en la que no se permite fotos cuando hay misa, ojo con eso. Por lo demás es bastante grande, tiene muchas imágenes de la virgen y de Jesús, cuadros y construcciones muy bien preservados.Cuando fui había una zona en remodelación pero existe una parte en la que se pueden apreciar unas pirámides aztecas construidas debajo de la catedral",,5,"Lima, Perú",11 de noviembre de 2017,nov de 2017
300 años de histpria,"La Catedral es un sitio maravilloso, imponente y  mágico, en mi opinión, ya que se aprecian en su construcción diversos estilos artísticos producto de sus tres siglos de construcción. vale la pena ver el Altar de los Reyes, la sillería, el órgano monumental, etc.",,5,"Ciudad de México, México",10 de noviembre de 2017,nov de 2017
Un tesoro,"La Catedral estaba parcialmente cerrada por los daños causados por el último terremoto.Al ingresar se percibe claramente la inclinacion del piso por el hundimiento del suelo. El altar mayor, asi como el coro y el órgano son muy parecidos a los de la catedral de Toledo y de otras ciudades de España. Los altares laterales estan dedicados a diferentes santos, advocaciones marianas o imagenes del Señor. Todos muy lindos al igual que los vitrales,  techos y ornamentos.En horario de misa esta prohibido tomar fotografias a acceder a la parte central. Eso me gustó mucho por el respeto a la celebracion de la misa",,5,"Lima, Perú",9 de noviembre de 2017,nov de 2017
UNA DE LAS EDIFICACIONES MAS IMPONENTES,"Visita obligada de todo visitante a la ciudad de México, edificio más antiguo de la plaza mayor mexicana; centro religioso por excelencia, pero también centro de expresión arquitectónica y estética de primer nivel. Imprescindible",,5,"Ciudad de México, México",8 de noviembre de 2017,dic de 2016
